,ID,prepost,Start time,I think about climate change,I think the world's climate is changing,I'm worried about the effects of climate change on my community,I think it's too late to do anything about climate change,I know about the history of flooding in my community,I know what the government and local authority are doing to help my community to cope with climate change,I understand the difference between climate change mitigation and climate change adaptation,I think technology is the most important tool we have to help us to adapt to climate change,I think interactive maps are a useful tool for talking about and demonstrating the effects of climate change,Games are a good way to help us to imagine the effects of climate change,Imagining what our lives will be like in the future is a good way to discuss adaptation to climate change,I think that changing my own behaviour can help to limit the effects of climate change,deis
0,132,pre,2022-09-13 13:59:10,Rarely,Probably changing,Not worried at all,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Agree,Neutral,True
1,127,pre,2022-09-13 13:59:26,Never,Probably not changing,Climate change isn't happening,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Neutral,Strongly disagree,True
2,128,pre,2022-09-13 13:59:26,Rarely,Definitely changing,A little worried,Disagree,Agree,Strongly disagree,Neutral,Strongly agree,Neutral,Agree,Agree,Strongly agree,True
3,131,pre,2022-09-13 13:59:26,Rarely,Definitely changing,A little worried,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,True
4,129,pre,2022-09-13 13:59:27,Sometimes,Definitely changing,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,True
5,137,pre,2022-09-13 13:59:27,Never,Definitely changing,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,True
6,139,pre,2022-09-13 13:59:30,Often,Definitely changing,A little worried,Strongly disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,True
7,130,pre,2022-09-13 13:59:43,Rarely,Definitely changing,A little worried,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Strongly agree,Agree,True
8,133,pre,2022-09-13 13:59:51,Sometimes,Definitely changing,Very worried,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,True
9,134,pre,2022-09-13 13:59:51,Never,Probably changing,Not worried at all,Neutral,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Strongly disagree,True
10,136,pre,2022-09-13 14:00:27,Rarely,Probably changing,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Strongly agree,Disagree,Disagree,True
11,138,pre,2022-09-13 14:00:27,Never,Maybe changing,Not worried at all,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,True
12,135,pre,2022-09-13 14:01:27,Rarely,Definitely changing,A little worried,Agree,Disagree,Neutral,Strongly disagree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,True
13,140,pre,2022-09-13 14:04:27,Sometimes,Definitely changing,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,True
14,142,pre,2022-09-13 14:05:27,Never,Maybe changing,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Agree,True
15,141,pre,2022-09-13 14:05:41,Rarely,Definitely changing,Not worried at all,Strongly disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,True
16,143,pre,2022-09-13 14:14:51,Sometimes,Probably changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,True
17,144,pre,2022-09-13 14:17:25,Rarely,Definitely changing,A little worried,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,True
18,149,pre,2022-09-14 11:23:19,Often,Definitely changing,Very worried,Disagree,Neutral,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,True
19,145,pre,2022-09-14 11:23:20,Sometimes,Definitely changing,A little worried,Strongly disagree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Strongly agree,True
20,153,pre,2022-09-14 11:23:21,Often,Probably changing,A little worried,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,True
21,157,pre,2022-09-14 11:23:21,Sometimes,Probably changing,A little worried,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,True
22,160,pre,2022-09-14 11:23:21,Very often,Definitely changing,Very worried,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,True
23,161,pre,2022-09-14 11:23:21,Rarely,Maybe changing,A little worried,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Agree,True
